Political-affiliation,Gender,Age,Trump-approval,Education,Race,Marital-status,Jobs-robots,Climate-change,Scientists-honest,Vaccines-children,Books,Funding-science
Independent,Male,65,SomewhatDisapprove,Graduate,White,Married,unknown,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,10,Low
Democrat,Female,73,unknown,College,Black,Widowed,Likely,RealNotCausedbyPeople,StronglyAgree,SomewhatAgree,200,Low
Independent,Male,44,StronglyDisapprove,SomeCollege,Black,Married,Likely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,6,AboutRight
Republican,Male,65,StronglyApprove,Graduate,White,Relationship,unknown,RealCausedbyPeople,StronglyAgree,StronglyAgree,7,Low
Independent,Female,25,unknown,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,SomewhatDisagree,SomewhatDisagree,124,AboutRight
Republican,Male,53,StronglyDisapprove,College,Black,Separated,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,SomewhatAgree,1,High
Independent,Male,30,NeitherApproveDisapprove,College,Black,Married,Unlikely,RealCausedbyPeople,SomewhatDisagree,StronglyDisagree,15,AboutRight
Independent,Male,73,StronglyApprove,SomeCollege,Black,Widowed,Unlikely,NotReal,StronglyDisagree,StronglyAgree,8,AboutRight
Democrat,Female,56,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,10,Low
Independent,Female,54,StronglyApprove,Graduate,unknown,Married,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,StronglyAgree,5,High
unknown,Female,60,SomewhatDisapprove,Other,White,Separated,Likely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,0,AboutRight
Independent,Female,19,SomewhatDisapprove,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatDisagree,5,Low
Democrat,Other,35,StronglyDisapprove,Graduate,Asian,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,50,Low
unknown,Female,31,SomewhatApprove,College,Black,Single,Unlikely,RealNotCausedbyPeople,StronglyDisagree,SomewhatAgree,10,High
Independent,Female,31,NeitherApproveDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,5,Low
Independent,Male,62,SomewhatDisapprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,1,High
Republican,Male,75,StronglyApprove,Highschool,White,Married,Likely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,20,AboutRight
Democrat,Female,66,StronglyDisapprove,College,White,Widowed,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,30,AboutRight
Independent,Male,58,SomewhatDisapprove,Graduate,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatDisagree,4,AboutRight
unknown,Female,47,StronglyDisapprove,SomeCollege,White,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,20,Low
Republican,Male,18,StronglyApprove,Highschool,White,Single,Unlikely,NotReal,SomewhatAgree,StronglyAgree,4,AboutRight
Republican,Male,34,StronglyApprove,Highschool,White,Widowed,Likely,NotReal,StronglyDisagree,StronglyDisagree,1,High
Democrat,Female,63,StronglyDisapprove,College,Black,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,6,AboutRight
Republican,Male,28,StronglyApprove,SomeCollege,White,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,0,AboutRight
Democrat,Male,36,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,8,Low
Independent,Male,32,SomewhatApprove,Highschool,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,18,AboutRight
Independent,Male,55,SomewhatApprove,SomeCollege,White,Divorced,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatDisagree,0,AboutRight
Republican,Male,72,StronglyApprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,6,AboutRight
Democrat,Male,31,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
Democrat,Female,41,StronglyDisapprove,Highschool,Latino,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatDisagree,0,Low
unknown,Male,48,StronglyApprove,Highschool,White,Relationship,Unlikely,NotReal,SomewhatAgree,SomewhatAgree,2,AboutRight
Independent,Female,86,StronglyDisapprove,College,White,Married,Unlikely,unknown,SomewhatAgree,StronglyAgree,2,unknown
Democrat,Female,53,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,50,Low
Independent,Female,74,unknown,Highschool,White,Divorced,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,50,AboutRight
unknown,Female,33,StronglyApprove,College,White,Married,Unlikely,NotReal,StronglyDisagree,StronglyAgree,1000,High
Republican,Female,78,SomewhatApprove,SomeCollege,White,Widowed,Likely,NotReal,SomewhatAgree,SomewhatAgree,0,AboutRight
unknown,Male,45,StronglyApprove,College,White,Married,Unlikely,NotReal,SomewhatAgree,SomewhatAgree,20,Low
Democrat,Male,41,SomewhatApprove,Highschool,White,Divorced,Likely,RealCausedbyPeople,SomewhatDisagree,SomewhatAgree,1,AboutRight
Independent,Male,76,StronglyDisapprove,College,White,Married,Likely,RealCausedbyPeople,unknown,StronglyAgree,3,Low
Republican,Female,65,StronglyApprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,3,AboutRight
Independent,Male,48,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,15,Low
Independent,Male,46,NeitherApproveDisapprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,1,Low
Republican,Male,50,StronglyApprove,Graduate,Latino,Married,Unlikely,NotReal,StronglyDisagree,StronglyAgree,10,Low
Republican,Female,48,StronglyApprove,College,White,Married,Unlikely,NotReal,SomewhatDisagree,SomewhatAgree,20,High
Independent,Female,54,StronglyDisapprove,Graduate,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,65,Low
Independent,Male,21,SomewhatDisapprove,SomeCollege,Black,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,3,Low
Independent,Female,48,SomewhatDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,SomewhatDisagree,StronglyAgree,150,AboutRight
Independent,Female,42,SomewhatDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,12,Low
Independent,Female,50,StronglyApprove,SomeCollege,White,Married,Likely,RealCausedbyPeople,unknown,StronglyAgree,5,unknown
Independent,Female,40,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,60,Low
Republican,Male,52,StronglyApprove,SomeCollege,White,Married,Unlikely,unknown,StronglyDisagree,SomewhatAgree,0,unknown
Independent,Male,37,StronglyDisapprove,College,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,15,Low
Independent,Female,45,SomewhatDisapprove,College,White,Married,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,1,Low
unknown,Female,27,NeitherApproveDisapprove,Highschool,White,Relationship,Unlikely,RealCausedbyPeople,unknown,StronglyAgree,3,AboutRight
Independent,Female,43,StronglyDisapprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,12,Low
Republican,Male,28,NeitherApproveDisapprove,Graduate,White,Single,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,16,Low
Democrat,Female,80,StronglyDisapprove,unknown,White,Separated,Likely,NotReal,StronglyAgree,StronglyAgree,25,AboutRight
Republican,Male,68,StronglyApprove,Graduate,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,SomewhatAgree,3,High
unknown,Male,36,unknown,Graduate,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatDisagree,12,unknown
Republican,Female,53,SomewhatApprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,35,AboutRight
unknown,Male,38,SomewhatDisapprove,Other,White,Married,Unlikely,unknown,SomewhatAgree,StronglyAgree,10,High
Republican,Female,37,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,StronglyDisagree,SomewhatDisagree,10,AboutRight
Independent,Female,42,StronglyDisapprove,SomeCollege,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
unknown,Male,24,StronglyApprove,SomeCollege,Other,Single,Unlikely,RealCausedbyPeople,NeitherAgreeDisagree,NeitherAgreeDisagree,0,unknown
Democrat,Female,50,StronglyDisapprove,College,Other,Married,Unlikely,NotReal,StronglyDisagree,StronglyAgree,2,Low
Republican,Male,53,SomewhatApprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,7,AboutRight
Independent,Female,30,SomewhatDisapprove,Other,Asian,Relationship,Unlikely,unknown,StronglyAgree,StronglyAgree,20,AboutRight
Democrat,Female,20,StronglyDisapprove,SomeCollege,Black,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,10,AboutRight
Republican,Male,67,StronglyApprove,SomeCollege,White,Relationship,Unlikely,NotReal,SomewhatAgree,unknown,4,AboutRight
Republican,Male,18,StronglyApprove,Highschool,White,Relationship,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,3,AboutRight
Democrat,Female,34,StronglyDisapprove,Graduate,Asian,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,60,Low
Democrat,Male,60,SomewhatDisapprove,Highschool,Black,Single,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,AboutRight
unknown,Male,25,unknown,SomeCollege,Latino,Married,Unlikely,RealCausedbyPeople,unknown,unknown,5,unknown
Republican,Male,56,StronglyApprove,Graduate,White,Married,Unlikely,RealNotCausedbyPeople,StronglyDisagree,SomewhatDisagree,4,High
Republican,Male,50,StronglyApprove,Highschool,White,Relationship,Unlikely,NotReal,StronglyDisagree,SomewhatAgree,1,High
Democrat,Female,61,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,2,unknown
Independent,Female,34,SomewhatApprove,SomeCollege,White,Divorced,unknown,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,unknown
Republican,Female,55,StronglyApprove,Graduate,White,Widowed,Unlikely,NotReal,SomewhatDisagree,SomewhatAgree,5,unknown
Independent,Male,25,StronglyApprove,Highschool,White,Married,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,unknown
unknown,Female,19,StronglyDisapprove,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,2,AboutRight
Independent,Male,70,SomewhatApprove,unknown,White,Married,Unlikely,NotReal,StronglyDisagree,unknown,1,High
Independent,Male,28,SomewhatDisapprove,SomeCollege,White,Married,Likely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,1,AboutRight
Independent,Male,35,SomewhatApprove,Graduate,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,10,Low
Independent,Other,27,StronglyDisapprove,College,White,Relationship,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,8,High
Independent,Female,48,StronglyApprove,SomeCollege,White,Single,Unlikely,NotReal,unknown,SomewhatAgree,0,unknown
unknown,Female,50,StronglyDisapprove,College,Other,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,50,Low
Independent,Male,30,SomewhatDisapprove,Graduate,Black,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,50,AboutRight
Democrat,Female,35,StronglyDisapprove,Other,Black,Separated,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,8,Low
Democrat,Female,22,SomewhatDisapprove,College,White,Relationship,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,6,AboutRight
Democrat,Female,40,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
unknown,Female,70,StronglyApprove,Highschool,White,Widowed,Unlikely,RealNotCausedbyPeople,SomewhatAgree,SomewhatAgree,10,High
Independent,Male,46,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,24,Low
Independent,Male,42,StronglyDisapprove,SomeCollege,Black,Divorced,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,6,unknown
unknown,Male,36,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,NeitherAgreeDisagree,15,Low
unknown,Female,66,unknown,College,Asian,Married,Likely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,0,unknown
Democrat,Female,71,StronglyDisapprove,SomeCollege,White,Divorced,unknown,RealCausedbyPeople,StronglyDisagree,SomewhatAgree,100,High
Independent,Male,25,unknown,Graduate,Asian,Relationship,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,5,High
Republican,Male,69,StronglyApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,2,AboutRight
Independent,Female,29,unknown,College,Other,Single,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,20,Low
Republican,Female,60,StronglyApprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,SomewhatAgree,15,AboutRight
Democrat,Female,70,StronglyDisapprove,College,Black,Married,Likely,RealCausedbyPeople,StronglyDisagree,SomewhatDisagree,2,AboutRight
Independent,Male,45,SomewhatApprove,College,Latino,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,2,Low
Republican,Male,30,NeitherApproveDisapprove,College,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,25,High
Republican,Male,63,StronglyApprove,Graduate,White,Married,Likely,RealNotCausedbyPeople,StronglyDisagree,SomewhatAgree,24,AboutRight
Democrat,Male,51,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Republican,Male,56,StronglyApprove,Highschool,White,Married,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,AboutRight
Democrat,Female,62,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,5,Low
Democrat,Female,46,unknown,SomeCollege,White,Married,Unlikely,unknown,StronglyAgree,SomewhatDisagree,0,unknown
unknown,Female,83,StronglyApprove,Highschool,White,Widowed,Unlikely,NotReal,unknown,unknown,12,unknown
Democrat,Male,48,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Independent,Female,54,StronglyDisapprove,SomeCollege,Latino,Married,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,15,Low
Democrat,Female,64,unknown,College,White,Single,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,0,AboutRight
Republican,Female,62,StronglyApprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,125,Low
unknown,Male,68,StronglyDisapprove,SomeCollege,unknown,Widowed,unknown,unknown,unknown,unknown,0,Low
unknown,Male,40,StronglyDisapprove,College,unknown,Single,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyDisagree,10,Low
Independent,Male,53,StronglyDisapprove,College,White,Married,Unlikely,unknown,StronglyAgree,StronglyAgree,3,Low
Democrat,Female,85,unknown,Graduate,White,Widowed,Unlikely,NotReal,SomewhatAgree,SomewhatAgree,5,High
Democrat,Male,55,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,0,Low
Democrat,Female,52,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Republican,Male,68,StronglyApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,unknown,StronglyAgree,5,Low
Democrat,Female,59,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
unknown,Female,25,StronglyDisapprove,Highschool,unknown,Single,Likely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,50,AboutRight
Republican,Female,57,SomewhatApprove,SomeCollege,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,60,Low
Independent,Male,72,StronglyApprove,Highschool,White,Widowed,Unlikely,RealCausedbyPeople,StronglyDisagree,StronglyAgree,20,AboutRight
unknown,Male,66,StronglyDisapprove,College,Black,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,3,AboutRight
Independent,Male,49,StronglyDisapprove,SomeCollege,White,Divorced,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
unknown,Male,44,NeitherApproveDisapprove,Highschool,White,Single,Unlikely,unknown,NeitherAgreeDisagree,SomewhatAgree,0,Low
Republican,Male,58,StronglyApprove,Highschool,White,Married,Unlikely,NotReal,SomewhatDisagree,StronglyAgree,0,AboutRight
Democrat,Male,55,StronglyDisapprove,Highschool,Black,Single,Likely,RealCausedbyPeople,StronglyAgree,StronglyAgree,15,Low
Republican,Male,42,SomewhatApprove,Highschool,White,Relationship,Unlikely,NotReal,StronglyAgree,StronglyAgree,2,AboutRight
Independent,Other,34,unknown,Graduate,unknown,unknown,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,30,unknown
Independent,Female,47,StronglyApprove,Highschool,White,Relationship,Unlikely,unknown,StronglyDisagree,SomewhatAgree,0,High
Democrat,Female,38,unknown,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,0,AboutRight
Democrat,Male,31,SomewhatDisapprove,Highschool,Black,Single,Unlikely,RealNotCausedbyPeople,SomewhatDisagree,StronglyAgree,2,Low
Democrat,Male,49,StronglyApprove,SomeCollege,White,Married,Likely,RealNotCausedbyPeople,StronglyAgree,SomewhatDisagree,10,AboutRight
unknown,Male,52,NeitherApproveDisapprove,SomeCollege,Other,Single,Likely,NotReal,StronglyDisagree,SomewhatAgree,2,High
Independent,Female,63,StronglyDisapprove,Graduate,White,Single,Unlikely,unknown,StronglyAgree,StronglyAgree,50,Low
Democrat,Male,26,SomewhatDisapprove,Highschool,Latino,Relationship,Likely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,50,AboutRight
Independent,Male,43,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,20,Low
Independent,Male,19,SomewhatDisapprove,SomeCollege,Black,Single,unknown,RealCausedbyPeople,SomewhatAgree,StronglyAgree,5,Low
unknown,Male,22,unknown,unknown,White,Single,Unlikely,NotReal,StronglyDisagree,StronglyDisagree,0,unknown
Independent,Male,39,StronglyDisapprove,College,Black,Married,Unlikely,RealCausedbyPeople,StronglyAgree,SomewhatAgree,5,AboutRight
Independent,Male,65,SomewhatApprove,SomeCollege,White,Married,Unlikely,NotReal,StronglyDisagree,SomewhatAgree,0,AboutRight
unknown,Male,35,unknown,Graduate,White,Married,Unlikely,unknown,unknown,unknown,8,unknown
unknown,Male,40,unknown,College,Black,Married,Unlikely,RealCausedbyPeople,unknown,StronglyAgree,10,High
unknown,Female,18,unknown,SomeCollege,White,Single,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,25,AboutRight
Democrat,Female,59,StronglyDisapprove,Graduate,Asian,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,2,unknown
unknown,Female,58,unknown,SomeCollege,Asian,Single,Unlikely,RealCausedbyPeople,unknown,StronglyAgree,3,unknown
Independent,Female,61,SomewhatDisapprove,SomeCollege,White,Widowed,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,2,unknown
Independent,Female,64,StronglyDisapprove,SomeCollege,White,Divorced,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,2,AboutRight
Republican,Female,64,unknown,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,5,unknown
Independent,Male,65,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,unknown,12,Low
Independent,Male,60,StronglyApprove,Graduate,unknown,Divorced,Unlikely,NotReal,SomewhatDisagree,SomewhatAgree,150,High
Democrat,Female,60,StronglyDisapprove,College,Black,Relationship,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,6,AboutRight
Republican,Female,44,SomewhatApprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyDisagree,StronglyAgree,3,AboutRight
unknown,Female,22,unknown,College,White,Relationship,Unlikely,unknown,SomewhatAgree,StronglyAgree,20,AboutRight
Independent,Male,56,StronglyApprove,Graduate,White,Married,unknown,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,2,AboutRight
Independent,Male,52,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,6,Low
Democrat,Male,64,StronglyDisapprove,Highschool,Black,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,0,AboutRight
Democrat,Female,45,StronglyDisapprove,Highschool,Latino,Single,Unlikely,RealCausedbyPeople,SomewhatDisagree,StronglyDisagree,2,unknown
unknown,Male,52,StronglyApprove,Graduate,unknown,unknown,Likely,unknown,unknown,StronglyAgree,20,Low
Independent,Female,63,StronglyDisapprove,SomeCollege,Black,Divorced,Likely,unknown,unknown,StronglyAgree,10,unknown
Democrat,Male,49,SomewhatApprove,College,White,Married,Unlikely,RealNotCausedbyPeople,StronglyAgree,StronglyAgree,3,Low
Independent,Male,19,StronglyDisapprove,SomeCollege,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,4,unknown
Democrat,Female,70,StronglyDisapprove,College,White,Single,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,60,Low
Democrat,Female,60,StronglyDisapprove,Graduate,Black,Single,Unlikely,RealNotCausedbyPeople,SomewhatAgree,StronglyAgree,50,High
Independent,Male,40,StronglyDisapprove,Graduate,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,15,Low
Independent,Female,41,NeitherApproveDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,StronglyAgree,StronglyAgree,7,Low
Independent,Female,50,unknown,SomeCollege,Black,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,0,Low
Democrat,Male,64,StronglyDisapprove,College,White,Married,Unlikely,RealCausedbyPeople,SomewhatAgree,StronglyAgree,3,Low
