Political-affiliation	Income	Gender	Age	Trump-approval	Education	Race	Marital-status	Jobs-robots	Climate-change	Scientists-honest	Vaccines-children	Books	Funding-science	ghosts?
Democrat	54000	Female	57	SomewhatDisapprove	Highschool	White	Married	Likely	NotReal	SomewhatAgree	StronglyAgree	0	AboutRight	No
unknown	73000	Male	36	NeitherApproveDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	12	AboutRight	No
Democrat	26000	Female	63	SomewhatDisapprove	Highschool	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	Low	Yes
Republican	48000	Female	63	unknown	College	White	Married	Unlikely	NotReal	SomewhatAgree	StronglyAgree	30	unknown	No
Independent	61000	Female	55	StronglyDisapprove	Highschool	White	Separated	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	1	AboutRight	No
Republican	67000	Female	56	SomewhatApprove	College	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	1	Low	Yes
unknown	58000	Male	54	SomewhatApprove	unknown	White	unknown	unknown	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	0	unknown	Yes
Independent	0	Female	50	StronglyDisapprove	College	Other	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	30	High	Yes
Independent	0	Male	65	SomewhatDisapprove	Graduate	White	Married	unknown	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	10	Low	No
Democrat	0	Female	73	unknown	College	Black	Widowed	Likely	RealNotCausedbyPeople	StronglyAgree	SomewhatAgree	200	Low	Yes
Independent	0	Male	44	StronglyDisapprove	SomeCollege	Black	Married	Likely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	6	AboutRight	No
Republican	0	Male	65	StronglyApprove	Graduate	White	Relationship	unknown	RealCausedbyPeople	StronglyAgree	StronglyAgree	7	Low	No
Independent	0	Female	25	unknown	SomeCollege	White	Single	Unlikely	RealCausedbyPeople	SomewhatDisagree	SomewhatDisagree	124	AboutRight	Yes
Republican	0	Male	53	StronglyDisapprove	College	Black	Separated	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	SomewhatAgree	1	High	No
Independent	0	Male	30	NeitherApproveDisapprove	College	Black	Married	Unlikely	RealCausedbyPeople	SomewhatDisagree	StronglyDisagree	15	AboutRight	No
Independent	0	Male	73	StronglyApprove	SomeCollege	Black	Widowed	Unlikely	NotReal	StronglyDisagree	StronglyAgree	8	AboutRight	No
Democrat	0	Female	56	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	10	Low	No
Independent	0	Female	54	StronglyApprove	Graduate	unknown	Married	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	StronglyAgree	5	High	No
unknown	0	Female	60	SomewhatDisapprove	Other	White	Separated	Likely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	0	AboutRight	Yes
Independent	0	Female	19	SomewhatDisapprove	SomeCollege	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatDisagree	5	Low	Yes
Democrat	0	Other	35	StronglyDisapprove	Graduate	Asian	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	50	Low	Yes
unknown	0	Female	31	SomewhatApprove	College	Black	Single	Unlikely	RealNotCausedbyPeople	StronglyDisagree	SomewhatAgree	10	High	No
Independent	0	Female	31	NeitherApproveDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	5	Low	Yes
Independent	0	Male	62	SomewhatDisapprove	Highschool	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	1	High	Yes
Republican	0	Male	75	StronglyApprove	Highschool	White	Married	Likely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	20	AboutRight	No
Democrat	0	Female	66	StronglyDisapprove	College	White	Widowed	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	30	AboutRight	No
Independent	0	Male	58	SomewhatDisapprove	Graduate	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatDisagree	4	AboutRight	No
unknown	0	Female	47	StronglyDisapprove	SomeCollege	White	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	20	Low	Yes
Republican	0	Male	18	StronglyApprove	Highschool	White	Single	Unlikely	NotReal	SomewhatAgree	StronglyAgree	4	AboutRight	Yes
Republican	0	Male	34	StronglyApprove	Highschool	White	Widowed	Likely	NotReal	StronglyDisagree	StronglyDisagree	1	High	Yes
Democrat	0	Female	63	StronglyDisapprove	College	Black	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	6	AboutRight	No
Republican	0	Male	28	StronglyApprove	SomeCollege	White	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	0	AboutRight	No
Democrat	0	Male	36	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	8	Low	Yes
Independent	0	Male	32	SomewhatApprove	Highschool	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	18	AboutRight	No
Independent	0	Male	55	SomewhatApprove	SomeCollege	White	Divorced	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatDisagree	0	AboutRight	Yes
Republican	0	Male	72	StronglyApprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	6	AboutRight	Yes
Democrat	0	Male	31	StronglyDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	No
Democrat	0	Female	41	StronglyDisapprove	Highschool	Latino	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatDisagree	0	Low	No
unknown	0	Male	48	StronglyApprove	Highschool	White	Relationship	Unlikely	NotReal	SomewhatAgree	SomewhatAgree	2	AboutRight	Yes
Independent	0	Female	86	StronglyDisapprove	College	White	Married	Unlikely	unknown	SomewhatAgree	StronglyAgree	2	unknown	No
Democrat	0	Female	53	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	50	Low	No
Independent	30000	Female	74	unknown	Highschool	White	Divorced	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	50	AboutRight	No
unknown	52000	Female	33	StronglyApprove	College	White	Married	Unlikely	NotReal	StronglyDisagree	StronglyAgree	1000	High	Yes
Republican	41000	Female	78	SomewhatApprove	SomeCollege	White	Widowed	Likely	NotReal	SomewhatAgree	SomewhatAgree	0	AboutRight	No
unknown	106000	Male	45	StronglyApprove	College	White	Married	Unlikely	NotReal	SomewhatAgree	SomewhatAgree	20	Low	No
Democrat	21000	Male	41	SomewhatApprove	Highschool	White	Divorced	Likely	RealCausedbyPeople	SomewhatDisagree	SomewhatAgree	1	AboutRight	No
Independent	107000	Male	76	StronglyDisapprove	College	White	Married	Likely	RealCausedbyPeople	unknown	StronglyAgree	3	Low	No
Republican	53000	Female	65	StronglyApprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	3	AboutRight	No
Independent	26000	Male	48	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	15	Low	Yes
Independent	126000	Male	46	NeitherApproveDisapprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	1	Low	No
Republican	179000	Male	50	StronglyApprove	Graduate	Latino	Married	Unlikely	NotReal	StronglyDisagree	StronglyAgree	10	Low	No
Republican	122000	Female	48	StronglyApprove	College	White	Married	Unlikely	NotReal	SomewhatDisagree	SomewhatAgree	20	High	No
Independent	113000	Female	54	StronglyDisapprove	Graduate	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	65	Low	Yes
Independent	140000	Male	21	SomewhatDisapprove	SomeCollege	Black	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	3	Low	No
Independent	207000	Female	48	SomewhatDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	SomewhatDisagree	StronglyAgree	150	AboutRight	No
Independent	182000	Female	42	SomewhatDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	12	Low	Yes
Independent	128000	Female	50	StronglyApprove	SomeCollege	White	Married	Likely	RealCausedbyPeople	unknown	StronglyAgree	5	unknown	Yes
Independent	71000	Female	40	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	60	Low	No
Republican	70000	Male	52	StronglyApprove	SomeCollege	White	Married	Unlikely	unknown	StronglyDisagree	SomewhatAgree	0	unknown	No
Independent	0	Male	37	StronglyDisapprove	College	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	15	Low	No
Independent	0	Female	45	SomewhatDisapprove	College	White	Married	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	1	Low	Yes
unknown	0	Female	27	NeitherApproveDisapprove	Highschool	White	Relationship	Unlikely	RealCausedbyPeople	unknown	StronglyAgree	3	AboutRight	No
Independent	0	Female	43	StronglyDisapprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	12	Low	Yes
Republican	0	Male	28	NeitherApproveDisapprove	Graduate	White	Single	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	16	Low	No
Democrat	0	Female	80	StronglyDisapprove	unknown	White	Separated	Likely	NotReal	StronglyAgree	StronglyAgree	25	AboutRight	No
Republican	0	Male	68	StronglyApprove	Graduate	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	SomewhatAgree	3	High	No
unknown	0	Male	36	unknown	Graduate	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatDisagree	12	unknown	No
Republican	0	Female	53	SomewhatApprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	35	AboutRight	Yes
unknown	0	Male	38	SomewhatDisapprove	Other	White	Married	Unlikely	unknown	SomewhatAgree	StronglyAgree	10	High	Yes
Republican	0	Female	37	StronglyApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	StronglyDisagree	SomewhatDisagree	10	AboutRight	No
Independent	0	Female	42	StronglyDisapprove	SomeCollege	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	Yes
unknown	0	Male	24	StronglyApprove	SomeCollege	Other	Single	Unlikely	RealCausedbyPeople	NeitherAgreeDisagree	NeitherAgreeDisagree	0	unknown	No
Democrat	0	Female	50	StronglyDisapprove	College	Other	Married	Unlikely	NotReal	StronglyDisagree	StronglyAgree	2	Low	Yes
Republican	0	Male	53	SomewhatApprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	7	AboutRight	No
Independent	0	Female	30	SomewhatDisapprove	Other	Asian	Relationship	Unlikely	unknown	StronglyAgree	StronglyAgree	20	AboutRight	No
Democrat	0	Female	20	StronglyDisapprove	SomeCollege	Black	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	10	AboutRight	Yes
Republican	0	Male	67	StronglyApprove	SomeCollege	White	Relationship	Unlikely	NotReal	SomewhatAgree	unknown	4	AboutRight	No
Republican	77000	Male	18	StronglyApprove	Highschool	White	Relationship	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	3	AboutRight	Yes
Democrat	0	Female	34	StronglyDisapprove	Graduate	Asian	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	60	Low	No
Democrat	0	Male	60	SomewhatDisapprove	Highschool	Black	Single	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	AboutRight	No
unknown	0	Male	25	unknown	SomeCollege	Latino	Married	Unlikely	RealCausedbyPeople	unknown	unknown	5	unknown	No
Republican	0	Male	56	StronglyApprove	Graduate	White	Married	Unlikely	RealNotCausedbyPeople	StronglyDisagree	SomewhatDisagree	4	High	Yes
Republican	0	Male	50	StronglyApprove	Highschool	White	Relationship	Unlikely	NotReal	StronglyDisagree	SomewhatAgree	1	High	No
Democrat	96000	Female	61	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	2	unknown	Yes
Independent	0	Female	34	SomewhatApprove	SomeCollege	White	Divorced	unknown	RealCausedbyPeople	StronglyAgree	StronglyAgree	0	unknown	Yes
Republican	0	Female	55	StronglyApprove	Graduate	White	Widowed	Unlikely	NotReal	SomewhatDisagree	SomewhatAgree	5	unknown	No
Independent	0	Male	25	StronglyApprove	Highschool	White	Married	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	0	unknown	Yes
unknown	0	Female	19	StronglyDisapprove	SomeCollege	White	Single	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	2	AboutRight	Yes
Independent	0	Male	70	SomewhatApprove	unknown	White	Married	Unlikely	NotReal	StronglyDisagree	unknown	1	High	No
Independent	0	Male	28	SomewhatDisapprove	SomeCollege	White	Married	Likely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	1	AboutRight	Yes
Independent	0	Male	35	SomewhatApprove	Graduate	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	10	Low	Yes
Independent	0	Other	27	StronglyDisapprove	College	White	Relationship	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	8	High	No
Independent	0	Female	48	StronglyApprove	SomeCollege	White	Single	Unlikely	NotReal	unknown	SomewhatAgree	0	unknown	Yes
unknown	0	Female	50	StronglyDisapprove	College	Other	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	50	Low	Yes
Independent	0	Male	30	SomewhatDisapprove	Graduate	Black	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	50	AboutRight	No
Democrat	0	Female	35	StronglyDisapprove	Other	Black	Separated	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	8	Low	Yes
Democrat	0	Female	22	SomewhatDisapprove	College	White	Relationship	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	6	AboutRight	Yes
Democrat	0	Female	40	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	Yes
unknown	0	Female	70	StronglyApprove	Highschool	White	Widowed	Unlikely	RealNotCausedbyPeople	SomewhatAgree	SomewhatAgree	10	High	No
Independent	0	Male	46	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	24	Low	Yes
Independent	0	Male	42	StronglyDisapprove	SomeCollege	Black	Divorced	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	6	unknown	No
unknown	0	Male	36	StronglyApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	NeitherAgreeDisagree	15	Low	unknown
unknown	0	Female	66	unknown	College	Asian	Married	Likely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	0	unknown	unknown
Democrat	0	Female	71	StronglyDisapprove	SomeCollege	White	Divorced	unknown	RealCausedbyPeople	StronglyDisagree	SomewhatAgree	100	High	Yes
Independent	0	Male	25	unknown	Graduate	Asian	Relationship	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	5	High	No
Republican	0	Male	69	StronglyApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	2	AboutRight	No
Independent	0	Female	29	unknown	College	Other	Single	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	20	Low	No
Republican	57000	Female	60	StronglyApprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	SomewhatAgree	15	AboutRight	Yes
Democrat	0	Female	70	StronglyDisapprove	College	Black	Married	Likely	RealCausedbyPeople	StronglyDisagree	SomewhatDisagree	2	AboutRight	No
Independent	101000	Male	45	SomewhatApprove	College	Latino	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	2	Low	No
Republican	152000	Male	30	NeitherApproveDisapprove	College	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	25	High	No
Republican	35000	Male	63	StronglyApprove	Graduate	White	Married	Likely	RealNotCausedbyPeople	StronglyDisagree	SomewhatAgree	24	AboutRight	No
Democrat	109000	Male	51	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
Republican	87000	Male	56	StronglyApprove	Highschool	White	Married	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	AboutRight	No
Democrat	79000	Female	62	StronglyDisapprove	Graduate	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	5	Low	Yes
Democrat	73000	Female	46	unknown	SomeCollege	White	Married	Unlikely	unknown	StronglyAgree	SomewhatDisagree	0	unknown	Yes
unknown	89000	Female	83	StronglyApprove	Highschool	White	Widowed	Unlikely	NotReal	unknown	unknown	12	unknown	No
Democrat	250000	Male	48	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	No
Independent	93000	Female	54	StronglyDisapprove	SomeCollege	Latino	Married	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	15	Low	Yes
Democrat	21000	Female	64	unknown	College	White	Single	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyAgree	0	AboutRight	No
Republican	80000	Female	62	StronglyApprove	College	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	125	Low	No
unknown	30000	Male	68	StronglyDisapprove	SomeCollege	unknown	Widowed	unknown	unknown	unknown	unknown	0	Low	No
unknown	73000	Male	40	StronglyDisapprove	College	unknown	Single	Unlikely	RealNotCausedbyPeople	StronglyAgree	StronglyDisagree	10	Low	No
Independent	133000	Male	53	StronglyDisapprove	College	White	Married	Unlikely	unknown	StronglyAgree	StronglyAgree	3	Low	No
Democrat	74000	Female	85	unknown	Graduate	White	Widowed	Unlikely	NotReal	SomewhatAgree	SomewhatAgree	5	High	No
Democrat	67000	Male	55	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	0	Low	No
Democrat	0	Female	52	StronglyDisapprove	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	3	Low	Yes
Republican	0	Male	68	StronglyApprove	College	White	Married	Unlikely	RealNotCausedbyPeople	unknown	StronglyAgree	5	Low	No
Democrat	0	Female	59	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	No
unknown	0	Female	25	StronglyDisapprove	Highschool	unknown	Single	Likely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	50	AboutRight	Yes
Republican	0	Female	57	SomewhatApprove	SomeCollege	White	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	60	Low	Yes
Independent	0	Male	72	StronglyApprove	Highschool	White	Widowed	Unlikely	RealCausedbyPeople	StronglyDisagree	StronglyAgree	20	AboutRight	No
unknown	0	Male	66	StronglyDisapprove	College	Black	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	3	AboutRight	Yes
Independent	0	Male	49	StronglyDisapprove	SomeCollege	White	Divorced	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	No
unknown	0	Male	44	NeitherApproveDisapprove	Highschool	White	Single	Unlikely	unknown	NeitherAgreeDisagree	SomewhatAgree	0	Low	No
Republican	0	Male	58	StronglyApprove	Highschool	White	Married	Unlikely	NotReal	SomewhatDisagree	StronglyAgree	0	AboutRight	No
Democrat	0	Male	55	StronglyDisapprove	Highschool	Black	Single	Likely	RealCausedbyPeople	StronglyAgree	StronglyAgree	15	Low	No
Republican	0	Male	42	SomewhatApprove	Highschool	White	Relationship	Unlikely	NotReal	StronglyAgree	StronglyAgree	2	AboutRight	Yes
Independent	0	Other	34	unknown	Graduate	unknown	unknown	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	30	unknown	No
Independent	0	Female	47	StronglyApprove	Highschool	White	Relationship	Unlikely	unknown	StronglyDisagree	SomewhatAgree	0	High	No
Democrat	0	Female	38	unknown	College	White	Single	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	0	AboutRight	Yes
Democrat	0	Male	31	SomewhatDisapprove	Highschool	Black	Single	Unlikely	RealNotCausedbyPeople	SomewhatDisagree	StronglyAgree	2	Low	Yes
Democrat	0	Male	49	StronglyApprove	SomeCollege	White	Married	Likely	RealNotCausedbyPeople	StronglyAgree	SomewhatDisagree	10	AboutRight	No
unknown	0	Male	52	NeitherApproveDisapprove	SomeCollege	Other	Single	Likely	NotReal	StronglyDisagree	SomewhatAgree	2	High	No
Independent	0	Female	63	StronglyDisapprove	Graduate	White	Single	Unlikely	unknown	StronglyAgree	StronglyAgree	50	Low	No
Democrat	0	Male	26	SomewhatDisapprove	Highschool	Latino	Relationship	Likely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	50	AboutRight	Yes
Independent	0	Male	43	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	20	Low	No
Independent	0	Male	19	SomewhatDisapprove	SomeCollege	Black	Single	unknown	RealCausedbyPeople	SomewhatAgree	StronglyAgree	5	Low	No
unknown	0	Male	22	unknown	unknown	White	Single	Unlikely	NotReal	StronglyDisagree	StronglyDisagree	0	unknown	No
Independent	0	Male	39	StronglyDisapprove	College	Black	Married	Unlikely	RealCausedbyPeople	StronglyAgree	SomewhatAgree	5	AboutRight	No
Independent	0	Male	65	SomewhatApprove	SomeCollege	White	Married	Unlikely	NotReal	StronglyDisagree	SomewhatAgree	0	AboutRight	Yes
unknown	0	Male	35	unknown	Graduate	White	Married	Unlikely	unknown	unknown	unknown	8	unknown	Yes
unknown	0	Male	40	unknown	College	Black	Married	Unlikely	RealCausedbyPeople	unknown	StronglyAgree	10	High	No
unknown	77000	Female	18	unknown	SomeCollege	White	Single	Unlikely	RealNotCausedbyPeople	SomewhatAgree	StronglyAgree	25	AboutRight	No
Democrat	112000	Female	59	StronglyDisapprove	Graduate	Asian	Married	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	2	unknown	No
unknown	71000	Female	58	unknown	SomeCollege	Asian	Single	Unlikely	RealCausedbyPeople	unknown	StronglyAgree	3	unknown	No
Independent	52000	Female	61	SomewhatDisapprove	SomeCollege	White	Widowed	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	2	unknown	Yes
Independent	22000	Female	64	StronglyDisapprove	SomeCollege	White	Divorced	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	2	AboutRight	unknown
Republican	136000	Female	64	unknown	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	StronglyAgree	5	unknown	No
Independent	167000	Male	65	StronglyDisapprove	College	White	Married	Unlikely	RealCausedbyPeople	StronglyAgree	unknown	12	Low	No
Independent	76000	Male	60	StronglyApprove	Graduate	unknown	Divorced	Unlikely	NotReal	SomewhatDisagree	SomewhatAgree	150	High	Yes
Democrat	32000	Female	60	StronglyDisapprove	College	Black	Relationship	Unlikely	RealCausedbyPeople	SomewhatAgree	StronglyAgree	6	AboutRight	No
